code,city,state,country
COB, COBURN GORE, ME       ,US
EST, EASTCOURT, ME         ,US
EPT, EASTPORT MUNICIPAL, ME,US
EPM, EASTPORT, ME          ,US
FOR, FOREST CITY, ME       ,US
FTF, FORT FAIRFIELD, ME    ,US
FTK, FORT KENT, ME         ,US
HML, HAMIIN, ME            ,US
HTM, HOULTON, ME           ,US
JKM, JACKMAN, ME           ,US
KAL, KALISPEL, MT          ,US
LIM, LIMESTONE, ME         ,US
LUB, LUBEC, ME             ,US
MAD, MADAWASKA, ME         ,US
POM, PORTLAND, ME          ,US
RGM, RANGELEY, ME,US
SBR, SOUTH BREWER, ME      ,US
SRL, ST AURELIE, ME        ,US
SPA, ST PAMPILE, ME        ,US
VNB, VAN BUREN, ME         ,US
VCB, VANCEBORO, ME         ,US
AGN, ALGONAC, MI           ,US
ALP, ALPENA, MI            ,US
BCY, BAY CITY, MI          ,US
DET, DETROIT, MI           ,US
GRP, GRAND RAPIDS, MI,US
GRO, GROSSE ISLE, MI       ,US
ISL, ISLE ROYALE, MI       ,US
MRC, MARINE CITY, MI       ,US
MRY, MARYSVILLE, MI        ,US
PTK, OAKLAND COUNTY - PONTIAC, MI,US
PHU, PORT HURON, MI        ,US
RBT, ROBERTS LANDING, MI   ,US
SAG, SAGINAW, MI           ,US
SSM, SAULT STE. MARIE, MI  ,US
SCL, ST CLAIR, MI          ,US
YIP, WILLOW RUN - YPSILANTI, MI,US
BAU, BAUDETTE, MN          ,US
CAR, CARIBOU MUNICIPAL AIRPORT, MN,US
GTF, Collapsed into INT, MN,US
INL, Collapsed into INT, MN,US
CRA, CRANE LAKE, MN        ,US
MIC, CRYSTAL MUNICIPAL AIRPORT, MN,US
DUL, DULUTH, MN            ,US
ELY, ELY, MN               ,US
GPM, GRAND PORTAGE, MN     ,US
SVC, GRANT COUNTY - SILVER CITY, MN,US
INT, INTL FALLS, MN      ,US
LAN, LANCASTER, MN         ,US
MSP, MINN./ST PAUL, MN     ,US
LIN, NORTHERN SVC CENTER, MN   ,US
NOY, NOYES, MN             ,US
PIN, PINE CREEK, MN        ,US
48Y, PINECREEK BORDER ARPT, MN,US
RAN, RAINER, MN            ,US
RST, ROCHESTER, MN,US
ROS, ROSEAU, MN            ,US
SPM, ST PAUL, MN           ,US
WSB, WARROAD INTL SPB, MN,US
WAR, WARROAD, MN           ,US
KAN, KANSAS CITY, MO       ,US
SGF, SPRINGFIELD-BRANSON, MO,US
STL, ST LOUIS, MO          ,US
WHI, WHITETAIL, MT         ,US
WHM, WILD HORSE, MT        ,US
GPT, BILOXI REGIONAL, MS,US
GTR, GOLDEN TRIANGLE LOWNDES CNTY, MS,US
GUL, GULFPORT, MS          ,US
PAS, PASCAGOULA, MS        ,US
JAN, THOMPSON FIELD - JACKSON, MS,US
BIL, BILLINGS, MT          ,US
BTM, BUTTE, MT             ,US
CHF, CHIEF MT, MT          ,US
CTB, CUT BANK MUNICIPAL, MT,US
CUT, CUT BANK, MT          ,US
DLB, DEL BONITA, MT        ,US
EUR, EUREKA, MT,US
BZN, GALLATIN FIELD - BOZEMAN, MT,US
FCA, GLACIER NATIONAL PARK, MT,US
GGW, GLASGOW, MT           ,US
GRE, GREAT FALLS, MT       ,US
HVR, HAVRE, MT             ,US
HEL, HELENA, MT            ,US
LWT, LEWISTON, MT          ,US
MGM, MORGAN, MT            ,US
OPH, OPHEIM, MT            ,US
PIE, PIEGAN, MT            ,US
RAY, RAYMOND, MT           ,US
ROO, ROOSVILLE, MT         ,US
SCO, SCOBEY, MT            ,US
SWE, SWEETGTASS, MT        ,US
TRL, TRIAL CREEK, MT       ,US
TUR, TURNER, MT            ,US
WCM, WILLOW CREEK, MT      ,US
CLT, CHARLOTTE, NC         ,US
FAY, FAYETTEVILLE, NC,US
MRH, MOREHEAD CITY, NC     ,US
FOP, MORRIS FIELDS AAF, NC,US
GSO, PIEDMONT TRIAD INTL AIRPORT, NC,US
RDU, RALEIGH/DURHAM, NC    ,US
SSC, SHAW AFB - SUMTER, NC,US
WIL, WILMINGTON, NC        ,US
AMB, AMBROSE, ND           ,US
ANT, ANTLER, ND            ,US
CRY, CARBURY, ND           ,US
DNS, DUNSEITH, ND          ,US
FAR, FARGO, ND             ,US
FRT, FORTUNA, ND           ,US
GRF, GRAND FORKS, ND       ,US
HNN, HANNAH, ND            ,US
HNS, HANSBORO, ND          ,US
MAI, MAIDA, ND             ,US
MND, MINOT, ND             ,US
NEC, NECHE, ND             ,US
NOO, NOONAN, ND            ,US
NRG, NORTHGATE, ND         ,US
PEM, PEMBINA, ND           ,US
SAR, SARLES, ND            ,US
SHR, SHERWOOD, ND          ,US
SJO, ST JOHN, ND           ,US
WAL, WALHALLA, ND          ,US
WHO, WESTHOPE, ND          ,US
WND, WILLISTON, ND         ,US
OMA, OMAHA, NE             ,US
LEB, LEBANON, NH           ,US
MHT, MANCHESTER, NH,US
PNH, PITTSBURG, NH         ,US
PSM, PORTSMOUTH, NH        ,US
BYO, BAYONNE, NJ           ,US
CNJ, CAMDEN, NJ            ,US
HOB, HOBOKEN, NJ           ,US
JER, JERSEY CITY, NJ       ,US
WRI, MC GUIRE AFB - WRIGHTSOWN, NJ,US
MMU, MORRISTOWN, NJ,US
NEW, NEWARK/TETERBORO, NJ  ,US
PER, PERTH AMBOY, NJ       ,US
ACY, POMONA FIELD - ATLANTIC CITY, NJ,US
ALA, ALAMAGORDO, NM,US
ABQ, ALBUQUERQUE, NM       ,US
ANP, ANTELOPE WELLS, NM    ,US
CRL, CARLSBAD, NM          ,US
COL, COLUMBUS, NM          ,US
CDD, CRANE LAKE - ST. LOUIS CNTY, NM,US
DNM, DEMING, NM,US
LAS, LAS CRUCES, NM        ,US
LOB, LORDSBURG, NM,US
RUI, RUIDOSO, NM,US
STR, SANTA TERESA, NM      ,US
RNO, CANNON INTL - RENO/TAHOE, NV,US
FLX, FALLON MUNICIPAL AIRPORT, NV,US
LVG, LAS VEGAS, NV         ,US
REN, RENO, NV              ,US
ALB, ALBANY, NY            ,US
AXB, ALEXANDRIA BAY, NY    ,US
BUF, BUFFALO, NY           ,US
CNH, CANNON CORNERS, NY,US
CAP, CAPE VINCENT, NY      ,US
CHM, CHAMPLAIN, NY         ,US
CHT, CHATEAUGAY, NY        ,US
CLA, CLAYTON, NY           ,US
FTC, FORT COVINGTON, NY    ,US
LAG, LA GUARDIA, NY        ,US
LEW, LEWISTON, NY          ,US
MAS, MASSENA, NY           ,US
MAG, MCGUIRE AFB, NY       ,US
MOO, MOORES, NY            ,US
MRR, MORRISTOWN, NY        ,US
NYC, NEW YORK, NY          ,US
NIA, NIAGARA FALLS, NY     ,US
OGD, OGDENSBURG, NY        ,US
OSW, OSWEGO, NY            ,US
ELM, REGIONAL ARPT - HORSEHEAD, NY,US
ROC, ROCHESTER, NY         ,US
ROU, ROUSES POINT, NY      ,US
SWF, STEWART - ORANGE CNTY, NY,US
SYR, SYRACUSE, NY          ,US
THO, THOUSAND ISLAND BRIDGE, NY,US
TRO, TROUT RIVER, NY       ,US
WAT, WATERTOWN, NY         ,US
HPN, WESTCHESTER - WHITE PLAINS, NY,US
WRB, WHIRLPOOL BRIDGE, NY,US
YOU, YOUNGSTOWN, NY        ,US
AKR, AKRON, OH             ,US
ATB, ASHTABULA, OH         ,US
CIN, CINCINNATI, OH        ,US
CLE, CLEVELAND, OH         ,US
CLM, COLUMBUS, OH          ,US
LOR, LORAIN, OH            ,US
MBO, MARBLE HEADS, OH      ,US
SDY, SANDUSKY, OH          ,US
TOL, TOLEDO, OH            ,US
OKC, OKLAHOMA CITY, OK     ,US
TUL, TULSA, OK,US
AST, ASTORIA, OR           ,US
COO, COOS BAY, OR          ,US
HIO, HILLSBORO, OR,US
MED, MEDFORD, OR           ,US
NPT, NEWPORT, OR           ,US
POO, PORTLAND, OR          ,US
PUT, PUT-IN-BAY, OH        ,US
RDM, ROBERTS FIELDS - REDMOND, OR,US
ERI, ERIE, PA              ,US
MDT, HARRISBURG, PA,US
HSB, HARRISONBURG, PA      ,US
PHI, PHILADELPHIA, PA      ,US
PIT, PITTSBURG, PA         ,US
AGU, AGUADILLA, PR         ,US
BQN, BORINQUEN - AGUADILLO, PR,US
JCP, CULEBRA - BENJAMIN RIVERA, PR,US
ENS, ENSENADA, PR          ,US
FAJ, FAJARDO, PR           ,US
HUM, HUMACAO, PR           ,US
JOB, JOBOS, PR             ,US
MAY, MAYAGUEZ, PR          ,US
PON, PONCE, PR             ,US
PSE, PONCE-MERCEDITA, PR,US
SAJ, SAN JUAN, PR          ,US
VQS, VIEQUES-ARPT, PR,US
PRO, PROVIDENCE, RI        ,US
PVD, THEODORE FRANCIS - WARWICK, RI,US
CHL, CHARLESTON, SC        ,US
CAE, COLUMBIA, SC,US
GEO, GEORGETOWN, SC        ,US
GSP, GREENVILLE, SC,US
GRR, GREER, SC,US
MYR, MYRTLE BEACH, SC,US
SPF, BLACK HILLS SPEARFISH, SD,US
HON, HOWES REGIONAL ARPT - HURON, SD,US
SAI, SAIPAN, SPN           ,US
TYS, MC GHEE TYSON - ALCOA, TN,US
MEM, MEMPHIS, TN           ,US
NSV, NASHVILLE, TN         ,US
TRI, TRI CITY ARPT, TN,US
ADS, ADDISON AIRPORT- ADDISON, TX,US
ADT, AMISTAD DAM, TX       ,US
ANZ, ANZALDUAS, TX,US
AUS, AUSTIN, TX            ,US
BEA, BEAUMONT, TX          ,US
BBP, BIG BEND PARK, TX,US
SCC, BP SPEC COORD. CTR, TX,US
BTC, BP TACTICAL UNIT, TX   ,US
BOA, BRIDGE OF AMERICAS, TX,US
BRO, BROWNSVILLE, TX       ,US
CRP, CORPUS CHRISTI, TX    ,US
DAL, DALLAS, TX            ,US
DLR, DEL RIO, TX           ,US
DNA, DONNA, TX,US
EGP, EAGLE PASS, TX        ,US
ELP, EL PASO, TX           ,US
FAB, FABENS, TX            ,US
FAL, FALCON HEIGHTS, TX    ,US
FTH, FORT HANCOCK, TX      ,US
AFW, FORT WORTH ALLIANCE, TX,US
FPT, FREEPORT, TX          ,US
GAL, GALVESTON, TX         ,US
HLG, HARLINGEN, TX         ,US
HID, HIDALGO, TX           ,US
HOU, HOUSTON, TX           ,US
SGR, HULL FIELD SUGAR LAND ARPT, TX,US
LLB, JUAREZ-LINCOLN BRIDGE, TX,US
LCB, LAREDO COLUMBIA BRIDGE, TX,US
LRN, LAREDO NORTH, TX      ,US
LAR, LAREDO, TX            ,US
LSE, LOS EBANOS, TX        ,US
IND, LOS INDIOS, TX,US
LOI, LOS INDIOS, TX        ,US
MRS, MARFA, TX,US
MCA, MCALLEN, TX           ,US
MAF, ODESSA REGIONAL, TX,US
PDN, PASO DEL NORTE,TX     ,US
PBB, PEACE BRIDGE, NY      ,US
PHR, PHARR, TX             ,US
PAR, PORT ARTHUR, TX       ,US
ISB, PORT ISABEL, TX       ,US
POE, PORT OF EL PASO, TX   ,US
PRE, PRESIDIO, TX          ,US
PGR, PROGRESO, TX          ,US
RIO, RIO GRANDE CITY, TX   ,US
ROM, ROMA, TX              ,US
SNA, SAN ANTONIO, TX       ,US
SNN, SANDERSON, TX         ,US
VIB, VETERAN INTL BRIDGE, TX,US
YSL, YSLETA, TX            ,US
CHA, CHARLOTTE AMALIE, VI  ,US
CHR, CHRISTIANSTED, VI     ,US
CRU, CRUZ BAY ST JOHN, VI ,US
FRK, FREDERIKSTED, VI      ,US
STT, ST THOMAS, VI         ,US
LGU, CACHE AIRPORT - LOGAN, UT,US
SLC, SALT LAKE CITY, UT    ,US
CHO, ALBEMARLE CHARLOTTESVILLE, VA,US
DAA, DAVISON AAF - FAIRFAX CNTY, VA,US
HOP, HOPEWELL, VA          ,US
HEF, MANASSAS, VA,US
NWN, NEWPORT, VA           ,US
NOR, NORFOLK, VA           ,US
RCM, RICHMOND, VA          ,US
ABS, ALBURG SPRINGS, VT    ,US
ABG, ALBURG, VT            ,US
BEB, BEEBE PLAIN, VT       ,US
BEE, BEECHER FALLS, VT     ,US
BRG, BURLINGTON, VT        ,US
CNA, CANAAN, VT            ,US
DER, DERBY LINE (I-91), VT,US
DLV, DERBY LINE (RT. 5), VT,US
ERC, EAST RICHFORD, VT     ,US
HIG, HIGHGATE SPRINGS, VT  ,US
MOR, MORSES LINE, VT       ,US
NPV, NEWPORT, VT           ,US
NRT, NORTH TROY, VT        ,US
NRN, NORTON, VT            ,US
PIV, PINNACLE ROAD, VT     ,US
RIF, RICHFORT, VT          ,US
STA, ST ALBANS, VT         ,US
SWB, SWANTON (BP - SECTOR HQ), VT,US
WBE, WEST BERKSHIRE, VT    ,US
ABE, ABERDEEN, WA          ,US
ANA, ANACORTES, WA         ,US
BEL, BELLINGHAM, WA        ,US
BLI, BELLINGHAM WASHINGTON #INTL, WA,US
BLA, BLAINE, WA            ,US
BWA, BOUNDARY, WA          ,US
CUR, CURLEW, WA,US
DVL, DANVILLE, WA          ,US
EVE, EVERETT, WA           ,US
FER, FERRY, WA             ,US
FRI, FRIDAY HARBOR, WA     ,US
FWA, FRONTIER, WA          ,US
KLM, KALAMA, WA            ,US
LAU, LAURIER, WA           ,US
LON, LONGVIEW, WA          ,US
MET, METALINE FALLS, WA    ,US
MWH, MOSES LAKE GRANT COUNTY ARPT, WA,US
NEA, NEAH BAY, WA          ,US
NIG, NIGHTHAWK, WA         ,US
OLY, OLYMPIA, WA           ,US
ORO, OROVILLE, WA          ,US
PWB, PASCO, WA             ,US
PIR, POINT ROBERTS, WA     ,US
PNG, PORT ANGELES, WA      ,US
PTO, PORT TOWNSEND, WA     ,US
SEA, SEATTLE, WA           ,US
SPO, SPOKANE, WA           ,US
SUM, SUMAS, WA             ,US
TAC, TACOMA, WA            ,US
PSC, TRI-CITIES - PASCO, WA ,US
VAN, VANCOUVER, WA         ,US
AGM, ALGOMA, WI             ,US
BAY, BAYFIELD, WI           ,US
GRB, GREEN BAY, WI          ,US
MNW, MANITOWOC, WI          ,US
MIL, MILWAUKEE, WI          ,US
MSN, TRUAX FIELD - DANE COUNTY, WI ,US
CHS, CHARLESTON, WV        ,US
CLK, CLARKSBURG, WV        ,US
BLF, MERCER COUNTY, WV,US
CSP, CASPER, WY            ,US
XXX, NOT REPORTED/UNKNOWN ,,
888, UNIDENTIFED AIR / SEAPORT,,
UNK, UNKNOWN POE           ,,
CLG, CALGARY,, CANADA       
EDA, EDMONTON,, CANADA      
YHC, HAKAI PASS,, CANADA
HAL, Halifax NS,, CANADA   
MON, MONTREAL,, CANADA      
OTT, OTTAWA,, CANADA        
YXE, SASKATOON,, CANADA
TOR, TORONTO,, CANADA       
VCV, VANCOUVER,, CANADA     
VIC, VICTORIA,, CANADA      
WIN, WINNIPEG,, CANADA      
AMS, AMSTERDAM-SCHIPHOL,, NETHERLANDS
ARB, ARUBA,, NETH ANTILLES  
BAN, BANKOK,, THAILAND      
BEI, BEICA #ARPT,, ETHIOPIA
PEK, BEIJING CAPITAL INTL,, PRC
BDA, KINDLEY FIELD,, BERMUDA
BOG, BOGOTA EL DORADO #ARPT,, COLOMBIA
EZE, BUENOS AIRES MINISTRO PIST,, ARGENTINA
CUN, CANCUN,, MEXICO
CRQ, CARAVELAS BA #ARPT,, BRAZIL
MVD, CARRASCO,, URUGUAY
DUB, DUBLIN,, IRELAND       
FOU, FOUGAMOU #ARPT,, GABON
FBA, FREEPORT,, BAHAMAS      
MTY, GEN M. ESCOBEDO Monterrey MX,,
HMO, GEN PESQUEIRA GARCIA MX,,
GCM, GRAND CAYMAN,, CAYMAN ISLAND
GDL, GUADALAJARA MIGUEL HIDAL MX,,
HAM, HAMILTON,, BERMUDA     
ICN, INCHON,, SEOUL KOREA
IWA, INVALID - IWAKUNI,, JAPAN
CND, KOGALNICEANU,, ROMANIA
LAH, LABUHA ARPT,, INDONESIA
DUR, LOUIS BOTHA,, SOUTH AFRICA
MAL, MANGOLE ARPT,, INDONESIA
MDE, MEDELLIN,, COLOMBIA
MEX, JUAREZ INTL MEXICO CITY MX, ,
LHR, MIDDLESEX,, ENGLAND
NBO, NAIROBI,, KENYA        
NAS, NASSAU,, BAHAMAS       
NCA, NORTH CAICOS,, TURK & CAIMAN
PTY, OMAR TORRIJOS,, PANAMA
SPV, PAPUA,, NEW GUINEA
UIO, QUITO (MARISCAL SUCR),, ECUADOR
RIT, ROME,, ITALY           
SNO, SAKON NAKHON #ARPT,, THAILAND
SLP, SAN LUIS POTOSI #ARPT,, MEXICO
SAN, SAN SALVADOR,, EL SALVADOR
SRO, SANTANA RAMOS #ARPT,, COLOMBIA
GRU, GUARULHOS INTL,SAO PAULO, BRAZIL
SHA, SHANNON,, IRELAND      
HIL, SHILLAVO,, ETHIOPIA
TOK, TOROKINA #ARPT, PAPUA, NEW GUINEA
VER, VERACRUZ,, MEXICO
LGW, WEST SUSSEX,, ENGLAND  
ZZZ, MEXICO Land (Banco de Mexico),, 
CHN, No PORT Code (CHN),,
CNC, CANNON CORNERS, NY,US
MAA, Abu Dhabi,,
AG0, MAGNOLIA, AR,US
BHM, BAR HARBOR, ME,US
BHX, BIRMINGHAM, AL,US
CAK, AKRON, OH,US
FOK, SUFFOLK COUNTY, NY,US
LND, LANDER, WY,US
MAR, MARFA, TX,US
MLI, MOLINE, IL,US
RIV, RIVERSIDE, CA,US
RME, ROME, NY,US
VNY, VAN NUYS, CA,US
YUM, YUMA, AZ,US
FRG, Collapsed (FOK) 06/15,,
HRL, Collapsed (HLG) 06/15,,
ISP, Collapsed (FOK) 06/15,,
JSJ, Collapsed (SAJ) 06/15,,
BUS, Collapsed (BUF) 06/15,,
IAG, Collapsed (NIA) 06/15,,
PHN, Collapsed (PHU) 06/15,,
STN, Collapsed (STR) 06/15,,
VMB, Collapsed (VNB) 06/15,,
T01, Collapsed (SEA) 06/15,,
PHF, No PORT Code (PHF),,
DRV, No PORT Code (DRV),,
FTB, No PORT Code (FTB),,
GAC, No PORT Code (GAC),,
GMT, No PORT Code (GMT),,
JFA, No PORT Code (JFA),,
JMZ, No PORT Code (JMZ),,
NC8, No PORT Code (NC8),,
NYL, No PORT Code (NYL),,
OAI, No PORT Code (OAI),,
PCW, No PORT Code (PCW),,
WA5, No PORT Code (WAS),,
WTR, No PORT Code (WTR),,
X96, No PORT Code (X96),,
XNA, No PORT Code (XNA),,
YGF, No PORT Code (YGF),,
5T6, No PORT Code (5T6),,
60, No PORT Code (60),,
SP0, No PORT Code (SP0),,
W55, No PORT Code (W55),,
X44, No PORT Code (X44),,
AUH, No PORT Code (AUH),,
RYY, No PORT Code (RYY),,
SUS, No PORT Code (SUS),,
74S, No PORT Code (74S),,
ATW, No PORT Code (ATW),,
CPX, No PORT Code (CPX),,
MTH, No PORT Code (MTH),,
PFN, No PORT Code (PFN),,
SCH, No PORT Code (SCH),,
ASI, No PORT Code (ASI),,
BKF, No PORT Code (BKF),,
DAY, No PORT Code (DAY),,
Y62, No PORT Code (Y62),,
AG, No PORT Code (AG),,
BCM, No PORT Code (BCM),,
DEC, No PORT Code (DEC),,
PLB, No PORT Code (PLB),,
CXO, No PORT Code (CXO),,
JBQ, No PORT Code (JBQ),,
JIG, No PORT Code (JIG),,
OGS, No PORT Code (OGS),,
TIW, No PORT Code (TIW),,
OTS, No PORT Code (OTS),,
AMT, No PORT Code (AMT),,
EGE, No PORT Code (EGE),,
GPI, No PORT Code (GPI),,
NGL, No PORT Code (NGL),,
OLM, No PORT Code (OLM),,
.GA, No PORT Code (.GA),,
CLX, No PORT Code (CLX),,
CP , No PORT Code (CP),,
FSC, No PORT Code (FSC),,
NK, No PORT Code (NK),,
ADU, No PORT Code (ADU),,
AKT, No PORT Code (AKT),,
LIT, No PORT Code (LIT),,
A2A, No PORT Code (A2A),,
OSN, No PORT Code (OSN),,
